time,biastg
11/16/2021,-0.050527524
11/17/2021,0.04382508
11/18/2021,0.19416907
11/19/2021,-0.10005574
11/20/2021,-0.16141468
11/21/2021,-0.029847603
11/22/2021,-0.04596352
11/23/2021,-0.18878604
11/24/2021,-0.10955079
11/25/2021,0.29342854
11/26/2021,0.46749595
11/27/2021,0.38428244
11/28/2021,
11/29/2021,
11/30/2021,
12/1/2021,0.43122846
12/2/2021,0.28357562
12/3/2021,0.29508963
12/4/2021,0.21022148
12/5/2021,0.01870784
12/6/2021,
12/7/2021,-0.1574205
12/8/2021,-0.23460193
12/9/2021,-0.55329496
12/10/2021,-0.5373466
12/11/2021,-0.24159549
12/12/2021,-0.17659207
12/13/2021,0.01996995
12/14/2021,0.002521313
12/15/2021,
12/16/2021,-0.020068688
12/17/2021,-0.115118265
12/18/2021,-0.10433167
12/19/2021,-0.08380094
12/20/2021,0.06784623
12/21/2021,-0.019293148
12/22/2021,-0.06527424
12/23/2021,-0.28063762
12/24/2021,-0.21462542
12/25/2021,-0.27221587
12/26/2021,-0.15773621
12/27/2021,-0.08571745
12/28/2021,-0.07815322
12/29/2021,-0.16308086
12/30/2021,
12/31/2021,-0.39847085
1/1/2022,-0.56526065
1/2/2022,-0.37755442
1/3/2022,-0.29123497
1/4/2022,-0.20116521
1/5/2022,-0.30854562
1/6/2022,-0.32531315
1/7/2022,-0.2867805
1/8/2022,-0.36119702
1/9/2022,-0.06032631
1/10/2022,0.24189176
1/11/2022,0.5379693
1/12/2022,0.505291
1/13/2022,0.5143644
1/14/2022,0.6065872
1/15/2022,0.47242042
1/16/2022,0.3254766
1/17/2022,0.3198203
1/18/2022,
1/19/2022,0.06246915
1/20/2022,0.09830577
1/21/2022,0.074813895
1/22/2022,-0.07758398
1/23/2022,-0.025169527
1/24/2022,-0.22677039
1/25/2022,-0.25465
1/26/2022,-0.1275075
1/27/2022,-0.008394197
1/28/2022,0.12652339
1/29/2022,-0.08764147
1/30/2022,0.015254786
1/31/2022,0.15704222
2/1/2022,0.3591252
2/2/2022,0.3078956
2/3/2022,0.23612483
2/4/2022,0.4309559
2/5/2022,0.54156715
2/6/2022,
2/7/2022,0.4518798
2/8/2022,0.3665644
2/9/2022,0.10916478
2/10/2022,0.097850755
2/11/2022,
2/12/2022,
2/13/2022,
2/14/2022,0.074407585
2/15/2022,-0.010732735
2/16/2022,0.17325473
2/17/2022,-0.33064163
2/18/2022,0.025426518
2/19/2022,0.22224501
2/20/2022,0.072278954
2/21/2022,0.027260086
2/22/2022,-0.20398898
2/23/2022,-0.3090412
2/24/2022,-0.095374525
2/25/2022,-0.017810106
2/26/2022,-0.007939006
2/27/2022,0.259847
2/28/2022,0.018736776
3/1/2022,
3/2/2022,-0.2238493
3/3/2022,-0.41500965
3/4/2022,-0.3540094
3/5/2022,-0.2904443
3/6/2022,0.3079112
3/7/2022,0.3696183
3/8/2022,0.4991747
3/9/2022,0.61489916
3/10/2022,0.706894
3/11/2022,0.45444643
3/12/2022,0.45168746
3/13/2022,0.5968301
3/14/2022,0.64006925
3/15/2022,0.67511594
3/16/2022,0.4200787
3/17/2022,0.42636716
3/18/2022,0.30397788
3/19/2022,0.24910872
3/20/2022,0.30060193
3/21/2022,
3/22/2022,
3/23/2022,0.64733046
3/24/2022,0.54381347
3/25/2022,0.20190415
3/26/2022,0.33605862
3/27/2022,0.3999998
3/28/2022,0.44451183
3/29/2022,-0.040798265
3/30/2022,-0.10142125
3/31/2022,
4/1/2022,-0.3944668
4/2/2022,-0.3713702
4/3/2022,-0.32648194
4/4/2022,-0.3019605
4/5/2022,-0.6904669
4/6/2022,-0.6241137
4/7/2022,-0.35428482
4/8/2022,0.21346883
4/9/2022,0.22296546
4/10/2022,0.30639303
4/11/2022,0.13510983
4/12/2022,-0.13062714
4/13/2022,-0.34256083
4/14/2022,0.1108861
4/15/2022,0.679016
4/16/2022,0.21550502
4/17/2022,-0.22585551
4/18/2022,-0.17096086
4/19/2022,-0.30481517
4/20/2022,-0.32301643
4/21/2022,-0.1525375
4/22/2022,-0.07247914
4/23/2022,0.17061885
4/24/2022,0.058469858
4/25/2022,-0.034220207
4/26/2022,0.2587045
4/27/2022,0.08312483
4/28/2022,-0.109838285
4/29/2022,0.30651984
4/30/2022,0.36363065
5/1/2022,0.35059008
5/2/2022,0.12699367
5/3/2022,-0.024472201
5/4/2022,-0.15724273
5/5/2022,-0.216849
5/6/2022,-0.00262681
5/7/2022,-0.003879306
5/8/2022,0.17293496
5/9/2022,-0.027492471
5/10/2022,-0.026192278
5/11/2022,-0.019531248
5/12/2022,0.112422906
5/13/2022,0.1876341
5/14/2022,0.21470404
5/15/2022,0.04540724
5/16/2022,-0.15607935
5/17/2022,-0.0918202
5/18/2022,-0.24345577
5/19/2022,-0.38213852
5/20/2022,-0.40815452
5/21/2022,-0.30900314
5/22/2022,-0.76103354
5/23/2022,-0.72050536
5/24/2022,-0.611002
5/25/2022,-0.46454105
5/26/2022,-0.26703656
5/27/2022,-0.1694008
5/28/2022,-0.08457296
5/29/2022,0.006785757
5/30/2022,-0.11424284
5/31/2022,-0.16279331
6/1/2022,0.23938803
6/2/2022,
6/3/2022,0.27823684
6/4/2022,
6/5/2022,
6/6/2022,
6/7/2022,-0.40543544
6/8/2022,-0.29192716
6/9/2022,-0.23637448
6/10/2022,-0.39670148
