time,dbiastg
2022-05-01,0.036206223
2022-05-02,-0.180432
2022-05-03,-0.12443429
2022-05-04,-0.05219441
2022-05-05,0.11041484
2022-05-06,0.15732503
2022-05-07,-0.22764173
2022-05-08,0.09857988
2022-05-09,0.07416339
2022-05-10,0.11076194
2022-05-11,0.017957825
2022-05-12,-0.03650445
2022-05-13,-0.0029685176
2022-05-14,-0.05191324
2022-05-15,-0.04870686
2022-05-16,-0.047059033
2022-05-17,-0.076943
2022-05-18,-0.04021593
2022-05-19,-0.08915594
2022-05-20,0.063439555
2022-05-21,0.1517066
2022-05-22,-0.48113188
2022-05-23,
2022-05-24,
2022-05-25,
2022-05-26,
2022-05-27,
2022-05-28,
2022-05-29,0.019629166
2022-05-30,-0.019531537
2022-05-31,0.010612779
2022-06-01,-0.028965704
2022-06-02,
2022-06-03,0.11401592
2022-06-04,
2022-06-05,
2022-06-06,
2022-06-07,0.11827091
2022-06-08,0.10996948
2022-06-09,0.028399106
2022-06-10,-0.15499964
